region_code,lag_weeks,spearman_rho,p_value,n_weeks
06099,2,0.6500391093247859,1.0824751205256908e-08,62
06099,3,0.7087985479450127,1.6422753603416322e-10,61
06099,4,0.6296842691385016,7.053616579641502e-08,60
06099,5,0.5776563487673222,1.665731660385047e-06,59
06099,6,0.40931340433888147,0.0014207348590183858,58
06113,-2,0.32020246107906797,0.00043241177943706925,117
06113,-1,0.4382210849508748,7.753696908710047e-07,117
06113,0,0.5272417675266027,1.0137210779354661e-09,117
06113,1,0.6310164744879116,3.137109480195705e-14,116
06113,2,0.6756819136798314,1.194005962332076e-16,115
06113,3,0.6549009839850289,2.699802688668619e-15,114
06113,4,0.6146712494840985,4.4243735571530343e-13,113
06113,5,0.5613629714430306,1.2063055544089315e-10,112
06113,6,0.49604355924031085,3.0925870179073955e-08,111
